roll_no,total_time,compiled,compiled successfully,ran_tests,test_results,modified,add_lines,change,remove_lines,cps,paste_lines,max_pastes,average_test_results,avg_paste,op
A2017\student4852,66240,,,,,1,,,6,0,,,,,0
A2017\student4857,2174128,504,263,158,70,13911,3775,12020,1023,0.003903174,1388,141,0.443037975,6.113832853,0
A2017\student4860,,,,,,,,,,,,,,,0
A2017\student4863,2914976,15,4,5,,143,50,130,21,1.72E-05,32,2,,1.5625,0
A2017\student4867,0,,,,,3,,,,,,,,,0
A2017\student4878,56,,,,,54,,,,0,,,,,0
A2017\student4882,10116424,1863,1273,1562,507,53978,13248,46915,1983,0.00107627,3742,109,0.324583867,2.909673971,0
A2017\student4896,264960,,,,,140,1,,,0,,,,,0
A2017\student4903,112,,,,,8,,,,0,,,,,0
A2017\student4934,4476128,917,672,475,288,21624,7009,18896,1225,0.001826132,3586,84,0.606315789,2.279419967,0
A2017\student4949,2804704,12,3,1,,242,105,202,46,4.46E-05,66,2,,1.893939394,0
A2017\student4959,1159168,11,5,3,,134,834,90,50,0.001658948,795,3,,2.418867925,0
A2017\student4966,66240,,,,,1,36,,,0.006959541,36,42,,12.80555556,0
A2017\student4973,2678256,1154,894,176,36,15108,30287,11662,6825,0.02924291,26530,4,0.204545455,2.952129665,0
A2017\student4995,459160,146,113,22,52,3208,1307,2745,508,0.006352905,725,70,2.363636364,4.023448276,0
A2017\student4998,1062016,191,150,197,243,5834,2700,4430,416,0.00417602,696,113,1.233502538,6.372126437,0
A2017\student5005,4355032,887,367,301,191,28012,5569,24880,683,0.001006881,1894,135,0.634551495,2.315205913,1
A2017\student5015,658224,93,55,16,14,47,1010,,,0.019139381,1000,1307,0.875,12.598,0
A2017\student5044,16800,,,,,1,,,269,0,,,,,0
A2017\student5068,2580208,693,466,231,123,12400,4426,10858,591,0.002700557,2256,204,0.532467532,3.088652482,1
A2017\student5071,0,,,,,1,1,,,,,,,,0
A2017\student5078,528,,,,,140,,,,0,,,,,0
A2017\student5106,3246736,634,479,511,272,14829,6765,11615,775,0.001451612,2323,48,0.532289628,2.028842015,0
A2017\student5109,4186160,1997,1284,468,170,24210,18334,18278,4421,0.005605854,10246,138,0.363247863,2.290357213,0
A2017\student5132,9455240,2421,1720,617,282,47044,15493,39068,2655,0.001563789,5287,129,0.457050243,2.79667108,0
A2017\student5140,4743584,126,68,34,32,3087,1246,2715,125,0.001057217,819,84,0.941176471,6.123321123,0
A2017\student5160,6466944,1736,1191,589,534,32843,14806,26404,2468,0.005017208,6899,140,0.906621392,4.703000435,1
A2017\student5166,7524784,1246,772,1163,416,41615,103891,33785,3292,0.059634403,93632,159,0.357695615,4.792549556,1
A2017\student5170,7136,10,10,,,4,68,1,22,0.018357623,68,2,,1.926470588,0
A2017\student5172,2952288,302,221,118,133,8780,2783,7372,287,0.000858995,627,139,1.127118644,4.044657097,0
A2017\student5193,4308120,1610,1350,926,626,21495,124840,14978,6349,0.116660864,115596,116,0.676025918,4.347806152,1
A2017\student5220,3743664,645,400,386,181,22898,94528,19974,1044,0.332780666,90770,178,0.468911917,13.72500826,1
A2017\student5222,1776,,,2,,2,,1,19,0,,,,,0
A2017\student5225,62152,26,20,,,410,50,370,,0.000289613,12,2,,1.5,0
A2017\student5226,66720,,,,,19,,,,0,,,,,0
A2017\student5236,6128832,1095,807,483,425,24974,6882,21546,820,0.001329943,1612,274,0.879917184,5.056451613,0
A2017\student5244,65760,,,,,1,4,,,0,,,,,0
A2017\student5261,2203904,773,662,195,0,12807,7214,10117,856,0.002822718,3372,160,0,1.84489917,0
A2017\student5268,0,,,,,1,1,,,,,,,,0
A2017\student5276,7287496,2083,1335,521,404,34125,12462,29404,1586,0.002570019,6158,246,0.775431862,3.041409549,1
A2017\student5284,7309864,3030,2372,297,68,41034,27190,34167,1764,0.007136932,16936,162,0.228956229,3.080420406,0
A2017\student5287,6046976,1366,1141,459,266,34943,25164,27307,6522,0.007005816,14512,83,0.579520697,2.91923925,1
A2017\student5296,0,,,,,1,1,,,,,,,,0
A2017\student5297,66240,,,,,19,,,,0,,,,,0
A2017\student5298,25440,,,,,5,,,,0,,,,,0
A2017\student5345,27200,,,,,217,24,45,16,0,,,,,0
A2017\student5348,6255520,3093,2594,908,519,34393,90433,26086,7759,0.054720471,79373,146,0.571585903,4.312612601,1
A2017\student5355,3590360,504,267,621,144,19611,10397,16840,2479,0.005927818,7025,87,0.231884058,3.029608541,1
A2017\student5366,1240,,,,,1,,,1,0,,,,,0
A2017\student5370,66240,,,,,7,,,,0,,,,,0
A2017\student5374,1225344,235,116,126,116,7519,2524,6456,431,0.001752977,1214,3,0.920634921,1.769357496,1
A2017\student5378,1311976,10,4,17,,14,,,,0,,,,,0
A2017\student5380,1085136,58,39,13,10,1321,412,1114,104,0.000527123,144,65,0.769230769,3.972222222,0
A2017\student5381,2153736,409,306,158,253,9418,3328,7945,1158,0.002162753,1175,102,1.601265823,3.964255319,0
A2017\student5383,1811176,306,160,165,68,11769,3004,10139,407,0.002101397,805,74,0.412121212,4.727950311,1
A2017\student5397,0,,,,,1,,,25,,,,,,0
A2017\student5399,39360,,,,,5,,,,0,,,,,0
A2017\student5403,5153328,,,3,,59,27,40,20,4.08E-06,13,2,,1.615384615,0
A2017\student5412,6357888,1388,1209,494,448,29512,15978,24494,1159,0.003271369,9224,86,0.906882591,2.254878578,0
A2017\student5420,17280,,,,,1,,1,,0,,,,,0
A2017\student5435,48,,,,,6,,,,0,,,,,0
A2017\student5436,1912368,281,144,132,127,12883,2372,11559,1265,0.001747049,722,68,0.962121212,4.627423823,0
A2017\student5468,64,,,,,1,,,22,0,,,,,0
A2017\student5470,273960,32,20,1,,329,203,162,90,0.00131406,136,52,,2.647058824,0
A2017\student5475,12120,,,6,,23,131,6,10,0.069141914,127,31,,6.598425197,0
A2017\student5482,2010384,239,54,62,25,12608,2168,11315,368,0.002098107,591,107,0.403225806,7.137055838,1
A2017\student5485,3840,9,9,9,,7,,,,0,,,,,0
A2017\student5488,1667680,302,197,42,51,9830,2111,8577,231,0.001044565,525,67,1.214285714,3.318095238,0
A2017\student5494,2552976,528,368,189,125,17501,5825,15148,647,0.002738373,3037,61,0.661375661,2.301942707,1
A2017\student5496,13128288,3893,3164,1328,1083,66195,21091,56545,2666,0.001683007,8308,139,0.815512048,2.659484834,0
A2017\student5529,0,,,,,1,4,,,,,,,,0
A2017\student5533,1055168,161,110,101,28,5239,1347,4497,161,0.000661506,361,3,0.277227723,1.933518006,0
A2017\student5536,,,,,,,,,,,,,,,0
A2017\student5571,15360,,,,,1,,,500,0,,,,,0
A2017\student5573,1973496,624,505,204,20,11958,4023,9679,550,0.001015964,1004,3,0.098039216,1.997011952,0
A2017\student5581,96776,1,1,2,,16,82,7,29,0.001859965,79,3,,2.278481013,0
A2017\student5592,66240,,,,,12,,,,0,,,,,0
A2017\student5603,0,,,,,4,,,,,,,,,0
A2017\student5607,28800,,,,,1,,,6,0,,,,,0
A2017\student5611,2003496,215,92,140,125,14508,3257,12815,185,0.001392067,1073,68,0.892857143,2.599254427,0
A2017\student5612,9276888,1830,1293,1060,363,46233,15563,37666,3016,0.001418148,4171,148,0.34245283,3.154159674,1
A2017\student5619,6056768,1765,1317,839,290,37642,10479,32231,2075,0.001362113,3385,178,0.345649583,2.437223043,0
A2017\student5621,88,,,,,10,,,,0,,,,,0
A2017\student5622,3069752,715,439,315,214,18791,7341,16263,1208,0.002848764,3843,102,0.679365079,2.275565964,1
A2017\student5624,10560,,,,,1,,,801,0,,,,,0
A2017\student5636,3034704,10,9,2,,129,64,118,48,0.000381256,57,67,,20.29824561,0
A2017\student5637,0,,,,,11,,,,,,,,,0
A2017\student5639,8030928,1565,1062,594,304,58590,14434,51032,2243,0.001513524,4572,72,0.511784512,2.658573928,1
A2017\student5649,4885936,1552,962,200,163,25889,4706,23233,964,0.001921433,1645,99,0.815,5.706990881,0
A2017\student5659,1784,,,4,,1,,,25,0,,,,,0
A2017\student5665,8126168,1696,1252,643,321,34361,20115,26764,4485,0.003380068,9857,127,0.499222395,2.786547631,0
A2017\student5667,337392,41,32,7,29,1809,1162,1462,333,0.0065621,725,48,4.142857143,3.053793103,0
A2017\student5673,128600,10,5,7,,833,171,782,3,0.001726283,118,2,,1.881355932,1
A2017\student5677,2094120,600,280,162,2,13432,5015,11366,433,0.001772582,1975,49,0.012345679,1.879493671,1
A2017\student5693,90624,26,21,,,237,114,177,22,0.000474488,28,2,,1.535714286,0
A2017\student5695,6616496,1057,760,596,249,32882,144976,28310,1466,0.106262741,139246,135,0.417785235,5.049243784,0
A2017\student5703,36008,,,,,1,24,,,0.001055321,24,2,,1.583333333,0
A2017\student5713,480,,,,,1,1,,,0,,,,,0
A2017\student5719,2370248,612,383,308,262,14793,35741,12420,581,0.062156365,32456,71,0.850649351,4.539253143,0
A2017\student5730,7476080,1405,918,578,373,44662,12642,38361,1745,0.001322886,4435,138,0.64532872,2.229988726,0
A2017\student5741,24,,,,,1,,,22,0,,,,,0
A2017\student5744,17280,,,,,1,,,25,0,,,,,0
A2017\student5749,35520,,,,,1,8,,,0.002111486,8,34,,9.375,0
A2017\student5766,3012344,584,294,226,124,19052,109426,16088,1834,0.243249443,105520,68,0.548672566,6.944190675,0
A2017\student5770,0,,,,,2,,,,,,,,,0
A2017\student5771,49152,23,22,10,,284,151,260,36,0.029378255,115,63,,12.55652174,0
A2017\student5774,303624,89,80,25,,957,726,725,88,0.002427344,415,3,,1.775903614,0
A2017\student5789,2535424,544,377,187,134,12834,4291,10770,367,0.00154136,1797,50,0.71657754,2.174735671,1
A2017\student5804,6854176,745,525,442,321,30810,37039,26957,2832,0.019626867,32286,193,0.726244344,4.16669764,0
A2017\student5805,1656,4,4,,,16,1,14,20,0,,,,,0
A2017\student5816,4124720,796,408,509,286,24118,9766,20771,5069,0.005858095,4955,185,0.561886051,4.876488396,1
A2017\student5832,3730992,903,614,484,98,20099,13452,17494,999,0.009852072,10216,174,0.202479339,3.598081441,1
A2017\student5842,1920,,,,,10,,,,0,,,,,0
A2017\student5860,0,,,,,4,,,,,,,,,0
A2017\student5861,4753968,1149,757,938,170,29885,12277,25765,1467,0.004570918,6232,97,0.181236674,3.486842105,1
A2017\student5863,0,,,,,1,1560,,,,1560,333,,107.8282051,0
A2017\student5881,66240,,,,,,,,,,,,,,0
A2017\student5882,66240,,,,,226,,,,0,,,,,0
A2017\student5899,1682776,1,,,,9,531,,426,0.000780853,530,3,,2.479245283,0
A2017\student5904,111184,10,4,28,106,404,623,320,7,0.011071737,558,3,3.785714286,2.20609319,0
A2017\student5939,8079800,1360,1050,1030,872,34483,13931,28730,1494,0.001602515,6749,65,0.846601942,1.918506445,1
A2017\student5952,6768,,,,,15,,,,0,,,,,0
A2017\student5957,2698360,82,72,,,670,166,609,47,4.45E-05,107,2,,1.121495327,0
A2017\student5961,5760,13,13,,,1,,,18,0,,,,,0
A2017\student5970,5023200,1090,528,340,111,29881,14453,24709,1790,0.004256649,7653,139,0.326470588,2.793937018,1
A2017\student5979,6737024,636,285,794,515,44519,9585,39225,1168,0.001073323,2909,59,0.64861461,2.485733929,0
A2017\student5996,2321368,313,175,227,218,13457,3591,11703,725,0.005937878,1226,346,0.960352423,11.24306688,1
A2017\student6001,5335784,791,564,438,415,26816,6775,23118,935,0.001193264,2014,67,0.947488584,3.161370407,1
A2017\student6002,5882280,1139,846,581,669,30879,12155,26739,1180,0.002774264,7182,200,1.151462995,2.272208299,0
A2017\student6004,54720,,,,,1,,,6,0,,,,,0
A2017\student6007,23984,10,8,4,,44,167,28,58,0.044112742,150,76,,7.053333333,0
A2017\student6010,100416,88,84,,,476,551,353,179,0.006463113,351,2,,1.849002849,0
A2017\student6011,4768856,822,612,378,323,28832,7960,24760,937,0.001314361,2683,92,0.854497354,2.336190831,1
A2017\student6018,2904920,456,316,469,341,14101,5142,12148,278,0.001516737,2403,28,0.727078891,1.833541407,1
A2017\student6029,1473800,16,11,2,,249,92,218,26,7.74E-05,75,2,,1.52,0
A2017\student6040,3976,,,1,,3,151,,69,0.07193159,151,2,,1.894039735,0
A2017\student6049,7760,,,,,5,268,2,,0.089690722,268,3,,2.597014925,0
A2017\student6053,5008488,1224,844,664,690,26186,344739,22969,2330,0.383475811,340819,110,1.039156627,5.635348968,1
A2017\student6054,5123136,765,531,237,130,22764,60412,20200,649,0.04886831,57036,76,0.548523207,4.389490848,0
A2017\student6080,39360,,,,,21,,,,0,,,,,0
A2017\student6087,10079680,2591,1737,893,476,51953,21602,43433,3703,0.002576868,10696,87,0.533034714,2.428384443,0
A2017\student6088,5950400,1872,1156,499,238,28918,74257,23084,2463,0.049764218,66857,130,0.476953908,4.429109891,1
A2017\student6109,49152,98,98,,,12,1,,1,0,,,,,0
A2017\student6121,8918480,2014,1141,949,696,48268,13305,42936,2009,0.00242048,6596,346,0.733403583,3.272741055,1
A2017\student6151,2571136,17,10,1,,90,128,69,139,0.000220914,117,67,,4.854700855,0
A2017\student6156,8071200,1084,848,601,378,46869,22929,39705,2010,0.004982902,12879,162,0.628951747,3.122757978,1
A2017\student6168,8776856,1687,1108,672,543,46711,20327,39849,9145,0.003959277,12201,162,0.808035714,2.848127203,1
A2017\student6170,8029064,1182,782,938,192,36966,10471,32401,1646,0.001783022,4300,136,0.204690832,3.329302326,1
A2017\student6172,6033768,1164,816,529,255,32718,13687,28108,1785,0.002524128,7852,40,0.482041588,1.939633214,0
A2017\student6184,1984,,,,,136,,,,0,,,,,0
A2017\student6195,10409728,1671,1035,1213,630,58778,18999,50122,2230,0.002054424,7358,267,0.519373454,2.906496331,1
A2017\student6198,48,,,,,140,,,,0,,,,,0
A2017\student6216,5124672,1537,1003,842,271,24343,9318,20430,1146,0.002126965,3565,268,0.321852732,3.057503506,1
A2017\student6227,480,,,,,1,,,28,0,,,,,0
A2017\student6248,1443224,5,4,4,30,174,343,149,14,0.000584109,323,3,7.5,2.609907121,0
A2017\student6255,1321864,12,11,,,131,123,93,19,0.000124067,94,2,,1.744680851,0
A2017\student6259,2880,,,,,1,1,,,0,,,,,0
A2017\student6267,66720,,,,,146,,,,0,,,,,0
A2017\student6303,4596848,1486,1297,309,581,18493,7400,15859,819,0.002373583,4044,131,1.8802589,2.698071217,0
A2017\student6310,9031504,2110,1528,434,334,49018,12791,42352,1526,0.001599512,3854,140,0.769585253,3.748313441,1
A2017\student6320,3839984,497,264,470,232,22855,5389,20587,570,0.002252093,2697,167,0.493617021,3.206525769,1
A2017\student6328,5386992,1457,863,855,470,26486,19629,21810,1326,0.00822407,13011,169,0.549707602,3.405041888,0
A2017\student6329,3531880,859,455,274,205,19751,5846,16840,1305,0.001818012,1862,268,0.748175182,3.448442535,0
A2017\student6332,11455560,3322,2447,1159,508,57196,16462,49443,2381,0.001388321,5732,129,0.438308887,2.774598744,0
A2017\student6346,8217880,2155,1460,911,465,39430,64367,34097,2910,0.033440863,58164,267,0.510428101,4.724795406,1
A2017\student6349,3352040,571,252,243,99,20263,5068,17914,1017,0.00429798,1881,145,0.407407407,7.659223817,0
A2017\student6357,4470720,638,480,692,544,25554,6944,22887,680,0.003091448,3260,149,0.786127168,4.239570552,0
A2017\student6363,0,,,,,134,,,,,,,,,0
A2017\student6369,7757392,2370,1934,552,288,44002,18278,35980,1717,0.001853329,6307,135,0.52173913,2.27953068,1
A2017\student6374,4721152,704,396,389,218,25333,5874,22522,1096,0.001550681,2201,89,0.560411311,3.326215357,1
A2017\student6376,7198384,1617,1063,494,375,35487,188007,29952,1530,0.128222529,181310,107,0.759109312,5.090701009,1
A2017\student6403,41128,,,,,245,195,190,61,0.039486481,133,75,,12.21052632,0
A2017\student6410,1334536,450,345,170,,6220,2831,4920,659,0.002005191,1374,3,,1.947598253,0
A2017\student6419,99360,,,1,,43,2,1,,0,,,,,0
A2017\student6441,2079216,154,44,223,79,14116,3041,12549,326,0.001650141,763,73,0.35426009,4.49672346,0
A2017\student6455,9326664,2791,1852,706,294,57921,20431,49876,2555,0.002457792,9394,126,0.416430595,2.44017458,0
A2017\student6468,5010768,1142,958,514,193,30978,11440,25810,1717,0.002370295,4770,71,0.375486381,2.489937107,1
A2017\student6471,9327336,3614,2205,1097,437,45796,21462,38728,4888,0.004619325,13246,276,0.398359161,3.252755549,1
A2017\student6484,2560192,41,17,7,,924,382,795,34,0.00074721,165,165,,11.59393939,0
A2017\student6516,3100432,1146,896,180,77,12870,7590,10331,722,0.00255029,3933,32,0.427777778,2.010424612,1
A2017\student6517,9181104,1742,1224,683,292,48147,18103,38082,2213,0.002297436,8696,162,0.427525622,2.425597976,0
A2017\student6522,9313136,1760,1234,628,328,52308,13601,44883,2970,0.001721654,5399,139,0.522292994,2.969809224,0
A2017\student6542,6804696,989,657,905,516,35467,198317,31123,902,0.150646407,192552,68,0.570165746,5.32377228,1
A2017\student6545,2747720,256,162,229,162,14070,3810,12071,249,0.001090722,1177,64,0.707423581,2.546304163,0
A2017\student6548,1848728,549,421,105,125,8310,3589,6808,369,0.001588119,1426,65,1.19047619,2.058906031,1
A2017\student6553,6447376,1232,832,718,1050,31351,17053,26568,1259,0.003612167,10269,85,1.462395543,2.267893661,1
A2017\student6558,8456008,2330,1772,590,716,48569,19245,40969,2103,0.002284411,8192,87,1.213559322,2.358032227,0
A2017\student6571,32640,,,,,4,,,,0,,,,,0
A2017\student6582,4093400,950,509,359,159,27654,8850,23360,1214,0.002557287,3358,132,0.442896936,3.117331745,1
A2017\student6594,0,,,,,1,,,20,,,,,,0
A2017\student6604,66240,,,,,1,1,,,0,,,,,0
A2017\student6609,3054656,499,372,242,318,19722,4759,17030,627,0.000842648,1208,63,1.314049587,2.130794702,1
A2017\student6613,84088,3,2,,,111,13,66,23,0,,,,,0
A2017\student6617,16800,,,,,1,,,22,0,,,,,0
A2017\student6634,4019448,577,378,405,209,19752,7423,17748,432,0.003236016,4554,72,0.516049383,2.8561704,0
A2017\student6635,2643592,549,288,287,105,14323,4767,12220,682,0.001859969,2130,104,0.365853659,2.308450704,1
A2017\student6656,10761448,3409,2599,1429,863,51184,44933,43569,2181,0.013853619,34810,131,0.603918824,4.282821028,0
A2017\student6681,5741944,1734,1156,344,91,36219,15412,31331,1668,0.003115844,8508,90,0.264534884,2.102844382,1
A2017\student6683,4330240,1122,668,289,279,28969,6345,25673,1149,0.001226722,1849,149,0.965397924,2.872904273,0
A2017\student6705,11656,10,10,10,,51,12,45,,0,,,,,0
A2017\student6707,480,2,,,,24,,,,0,,,,,0
A2017\student6711,66240,,,,,1,58,,,0.001600242,58,2,,1.827586207,0
A2017\student6720,28768,9,3,18,,116,285,104,,0.018145161,278,2,,1.877697842,0
A2017\student6723,4985928,801,441,366,225,27805,9781,23612,1555,0.002624587,4394,120,0.614754098,2.978152025,1
A2017\student6740,2000,,,,,25,,3,,0,,,,,0
A2017\student6743,3521480,424,323,230,95,17238,7032,14659,835,0.005508195,3565,70,0.413043478,5.440953717,0
A2017\student6774,6053336,1868,1157,808,484,34919,21399,29200,2571,0.006328246,13787,189,0.599009901,2.77848698,1
A2017\student6781,0,,,,,136,,,,,,,,,0
A2017\student6787,0,,,,,6,,,,,,,,,0
A2017\student6790,6360048,996,722,426,458,38904,10232,34391,1576,0.001769955,4059,107,1.075117371,2.773343188,0
A2017\student6792,7479032,1430,954,956,411,42802,14510,36559,2711,0.002540703,6646,73,0.429916318,2.859163407,1
A2017\student6795,6558376,1771,1230,960,381,30222,79555,24644,2810,0.04586669,72408,92,0.396875,4.154389018,1
A2017\student6801,370024,55,25,33,32,1717,408,1498,373,0.002462002,135,71,0.96969697,6.748148148,0
A2017\student6813,6371008,1097,703,426,159,32527,13017,26500,2619,0.001767381,4743,143,0.373239437,2.374024879,1
A2017\student6815,2896,,,,,6,41,,,0.024861878,41,2,,1.756097561,0
A2017\student6822,6688,4,,,,15,,,130,0,,,,,0
A2017\student6824,0,,,,,2,,,,,,,,,0
A2017\student6854,61440,,,,,4,,,,0,,,,,0
A2017\student6874,24000,,,,,15,,,,0,,,,,0
A2017\student6877,6166368,1394,1064,320,154,27609,9894,22922,1301,0.001229087,2892,115,0.48125,2.620677732,1
A2017\student6889,24,,,,,132,,,,0,,,,,0
A2017\student6900,6935616,2184,1903,467,357,39398,58807,31250,3336,0.022994353,48085,49,0.764453961,3.316626807,1
A2017\student6913,0,,,,,1,47,,,,47,2,,1.787234043,0
A2017\student6915,2876656,321,208,179,176,24120,4588,21155,607,0.00194149,755,94,0.983240223,7.397350993,1
A2017\student6924,57600,,,,,1,8,,,0.001475694,8,40,,10.625,0
A2017\student6931,5841664,727,428,570,367,36782,10198,31515,1035,0.001573182,2821,79,0.643859649,3.257710032,1
A2017\student6936,1839376,322,152,235,68,12802,4416,10598,855,0.003765407,1629,76,0.289361702,4.251688152,0
A2017\student6953,261072,120,106,,,1356,207,1230,44,0.00021067,31,2,,1.774193548,0
A2017\student6960,2395888,1,1,3,,110,17,98,381,0,,,,,0
A2017\student6966,4826488,853,553,295,131,25634,6156,22198,1140,0.001238167,1957,132,0.444067797,3.053653551,1
A2017\student6978,65760,,,,,1,6,,,0.001292579,6,40,,14.16666667,0
A2017\student6995,248192,39,32,16,53,1558,467,1339,19,0.000817915,124,2,3.3125,1.637096774,0
A2017\student7001,3447016,123,75,123,323,54,708,,29,0.003871174,699,790,2.62601626,19.09012876,0
A2017\student7013,0,,,,,9,,,,,,,,,0
A2017\student7019,36000,,,,,1,8,,,0.002083333,8,34,,9.375,0
A2017\student7040,3544,,,,,1,5,,,0,,,,,0
A2017\student7043,5418952,1189,771,400,92,26439,7620,23003,1906,0.001171998,2810,83,0.23,2.260142349,1
A2017\student7050,5867704,1479,958,536,165,31122,9250,27337,1444,0.001582391,4479,47,0.307835821,2.073007368,0
A2017\student7051,7729560,1420,841,1907,959,45330,68783,38174,4978,0.034565357,59314,150,0.502884111,4.50441717,0
A2017\student7085,14824,7,4,,,53,1,51,24,0,,,,,0
A2017\student7090,5625136,1286,1007,395,453,28387,7835,24788,971,0.001005842,2857,33,1.146835443,1.98039902,1
A2017\student7094,3408744,547,242,365,267,16816,4633,14377,1319,0.001686252,1703,96,0.731506849,3.3752202,1
A2017\student7119,24960,,,,,3,,,,0,,,,,0
A2017\student7123,1398528,171,109,146,53,11383,4352,9902,153,0.005658092,2513,21,0.363013699,3.148826104,0
A2017\student7125,0,,,,,11,,,,,,,,,0
A2017\student7135,66240,,,,,1,8,,,0.001132246,8,34,,9.375,0
A2017\student7136,36480,,,,,2,12,,,0.000328947,10,2,,1.2,0
A2017\student7153,39360,,,,,1,,1,,0,,,,,0
A2017\student7173,480,,,,,1,,,20,0,,,,,0
A2017\student7178,2663480,455,212,370,101,17985,4875,15431,359,0.001596783,1613,100,0.272972973,2.636701798,1
A2017\student7193,1114800,491,383,261,404,6194,2051,5244,227,0.001223538,729,3,1.54789272,1.871056241,0
A2017\student7196,5600200,204,123,796,558,24216,9094,20128,831,0.001718867,3445,346,0.701005025,2.794194485,0
A2017\student7197,0,,,,,11,,,,,,,,,0
A2017\student7200,4887704,1317,998,444,202,25899,11571,21460,1914,0.002331974,5727,50,0.454954955,1.990221757,0
A2017\student7232,1968,,,,,2,2,,,0,,,,,0
A2017\student7249,51784,24,2,,,205,48,177,26,0.000366909,12,2,,1.583333333,0
A2017\student7277,7215536,1748,1287,568,238,43146,12900,36490,1548,0.001239963,4085,99,0.419014085,2.190208078,0
A2017\student7293,7994360,1196,772,1193,340,33562,10134,28604,1467,0.001227115,3567,98,0.284995809,2.750210261,0
A2017\student7297,6993336,1192,731,426,266,41400,7339,37000,1930,0.000771592,1668,127,0.624413146,3.23501199,0
A2017\student7320,1411792,21,20,4,,210,174,172,32,0.000177788,126,3,,1.992063492,0
A2017\student7331,405824,153,125,63,308,1650,1124,1462,496,0.014565427,898,97,4.888888889,6.582405345,0
A2017\student7335,66720,,,,,1,,,6,0,,,,,0
A2017\student7341,0,,,,,1,,,20,,,,,,0
A2017\student7343,5181448,1100,613,350,123,24485,7256,21169,823,0.001942121,2907,144,0.351428571,3.461644307,1
A2017\student7346,25440,,,,,10,,,,0,,,,,0
A2017\student7356,8640,,,,,17,,,,0,,,,,0
A2017\student7368,6804960,929,653,358,370,22454,5516,19743,631,0.000882298,2035,73,1.033519553,2.95036855,0
A2017\student7369,10226520,3591,2459,1652,981,54353,24569,43745,3704,0.002001658,10502,91,0.593825666,1.949152542,1
A2017\student7370,36480,,,,,1,,,8,0,,,,,0
A2017\student7380,38208,11,7,5,10,330,83,279,12,0,,,2,,0
A2017\student7382,5668352,1619,779,756,639,34245,10091,29818,2086,0.003171292,4819,346,0.845238095,3.730234488,1
A2017\student7386,956128,221,131,101,526,5429,5570,4381,1582,0.037835938,4444,184,5.207920792,8.140414041,0
A2017\student7411,480,,,,,21,,,,0,,,,,0
A2017\student7421,639872,167,107,98,,2963,1631,2343,229,0.003708554,931,159,,2.54887218,0
A2017\student7425,958872,129,101,67,301,5020,1443,4287,136,0.002326692,511,123,4.492537313,4.365949119,0
A2017\student7429,1442736,217,122,75,114,5335,1333,4788,189,0.001709252,684,71,1.52,3.605263158,0
A2017\student7438,160,,,,,1,,1,,0,,,,,0
A2017\student7443,1603520,161,91,120,60,7045,3112,6125,651,0.00445208,2251,87,0.5,3.171479343,1
A2017\student7444,1904,,,,,31,4,5,,0,,,,,0
A2017\student7457,0,,,,,1,,,23,,,,,,0
A2017\student7479,5611240,915,572,742,310,35423,27001,29980,1988,0.013318803,18952,540,0.417789757,3.943383284,0
A2017\student7485,11624136,1591,1193,558,771,61032,17744,50858,2822,0.000977879,3840,68,1.38172043,2.96015625,0
A2017\student7492,222288,48,15,3,,1317,165,1232,78,0.00577629,87,68,,14.75862069,0
A2017\student7495,7232952,1179,432,538,88,38881,8548,33961,1152,0.000574316,2033,67,0.163568773,2.043285785,1
A2017\student7501,2832600,909,696,345,443,13094,5262,10716,705,0.001680082,2415,46,1.284057971,1.970600414,0
A2017\student7514,548528,32,17,163,98,1451,937,1281,252,0.005531167,768,125,0.601226994,3.950520833,1
A2017\student7525,12896,1,1,,,2,19,,,0.022720223,19,81,,15.42105263,0
A2017\student7537,10417608,1843,1141,1391,535,51293,17246,44312,4141,0.002218648,8332,93,0.384615385,2.774003841,0
A2017\student7540,29760,,,,,1,,,709,0,,,,,0
A2017\student7546,7423008,1894,1229,506,320,36431,11471,31150,1533,0.001583051,4875,68,0.632411067,2.410461538,0
A2017\student7582,6345872,1061,818,607,229,27054,7370,23282,914,0.00081817,2672,92,0.377265239,1.943113772,1
A2017\student7589,316968,153,139,3,0,1835,357,1587,37,0.000239772,48,2,0,1.583333333,0
A2017\student7597,0,,,,,1,1,,,,,,,,0
A2017\student7616,22080,,,,,1,4,,,0,,,,,0
A2017\student7629,2071272,345,183,154,30,12562,2696,11231,1071,0.001489423,1338,69,0.194805195,2.30568012,0
A2017\student7632,2922752,687,313,215,67,16916,143270,14791,579,0.248678643,140508,75,0.311627907,5.172844251,1
A2017\student7633,4154152,807,450,417,173,20038,8034,17317,1616,0.002219225,4501,52,0.414868106,2.048211509,1
A2017\student7643,553608,114,100,59,64,1913,1468,1265,377,0.00700315,720,98,1.084745763,5.384722222,0
A2017\student7665,2889488,12,5,16,39,748,92,690,19,3.46E-06,8,2,2.4375,1.25,0
A2017\student7673,5299008,1787,1441,646,603,28575,11068,24229,1586,0.002398373,4705,323,0.933436533,2.701168969,1
A2017\student7677,624,,,,,1,16,,,0.036858974,16,2,,1.4375,0
A2017\student7678,66240,,,,,1,,,22,0,,,,,0
A2017\student7697,984792,227,132,109,204,6495,1731,5549,294,0.003556081,521,93,1.871559633,6.72168906,1
A2017\student7700,1381192,163,66,47,18,7995,1679,6968,1091,0.000466988,265,23,0.382978723,2.433962264,1
