student_assignment,total_time,compiled,compiled successfully,ran_tests,test_results,modified,add_lines,change,remove_lines,average_test_results
A2017\student9201,3174336,296,136,359,194,21740,6190,18302,1638,0.540389972
A2017\student9221,4474824,913,578,377,209,25896,8104,22308,1403,0.554376658
A2017\student9238,683368,90,23,85,48,3311,445,3023,47,0.564705882
A2017\student9269,2054912,295,129,151,23,13390,2465,11917,523,0.152317881
A2017\student9272,0,,,,,1,1,,,
A2017\student9273,14304,5,2,1,0,26,759,11,324,0
A2017\student9275,6315944,1386,862,403,334,40197,12760,35743,1919,0.828784119
A2017\student9281,4306488,1373,898,381,376,19588,7682,16590,854,0.98687664
A2017\student9296,2175880,12,6,2,,174,71,138,41,
A2017\student9307,12132608,2779,1981,1586,1073,59229,150522,50050,6372,0.676544767
A2017\student9315,1726280,584,499,,,7399,17107,5219,2520,
A2017\student9318,6018240,1124,884,440,488,31168,282112,25437,3128,1.109090909
A2017\student9321,40320,85,85,,,437,,,,
A2017\student9340,55680,,,,,5,,,,
A2017\student9352,0,,,,,1,,,44,
A2017\student9358,66720,,,,,1,,,19,
A2017\student9359,2880,,,,,4,,,,
A2017\student9361,24608,,,,,1,1,,,
A2017\student9385,569008,41,20,90,301,3965,1170,3474,41,3.344444444
A2017\student9388,1616808,312,227,163,155,9033,2654,8031,240,0.950920245
A2017\student9391,5037960,807,495,557,375,29411,6805,25676,856,0.673249551
A2017\student9416,9700760,2326,1577,776,371,51878,40999,45014,1802,0.478092784
A2017\student9438,509992,112,48,5,0,3180,851,2843,311,0
A2017\student9439,5395520,1979,1274,555,447,25400,160348,21643,1400,0.805405405
A2017\student9447,512,,,,,1,1,,,
A2017\student9451,2381512,488,260,154,403,13291,3857,11587,525,2.616883117
A2017\student9458,224,,,1,,4,,,,
A2017\student9464,2661520,724,553,295,80,13163,4228,10883,531,0.271186441
A2017\student9466,1080,,,,,1,8,,,
A2017\student9473,60960,,,,,1,,,22,
A2017\student9475,9610768,1398,1012,659,507,53946,141016,45768,3638,0.769347496
A2017\student9476,48,,,,,1,2,,,
A2017\student9482,2536,,,,,1,8,,,
A2017\student9486,6446672,1357,772,660,301,36324,9910,31704,1115,0.456060606
A2017\student9498,12076280,3029,2026,1197,684,49376,18083,41974,2246,0.571428571
A2017\student9524,0,,,,,14,,,,
A2017\student9527,3550888,964,642,224,1,21838,6340,19032,662,0.004464286
A2017\student9531,5039536,1407,961,349,271,25953,9390,21950,1011,0.776504298
A2017\student9538,1310552,210,145,76,56,3122,3274,2541,261,0.736842105
A2017\student9542,5015144,715,432,408,295,30988,9379,27053,1033,0.723039216
A2017\student9547,8441344,2001,964,717,576,46229,10543,40815,1717,0.80334728
A2017\student9557,64,,,,,134,,,,
A2017\student9564,64320,,,,,7,,,,
A2017\student9567,6998448,2289,1638,936,472,30236,106532,25357,3261,0.504273504
A2017\student9569,5814400,1006,705,374,312,28030,11685,22978,1593,0.834224599
A2017\student9570,2409336,384,184,112,64,12269,3429,10721,570,0.571428571
A2017\student9589,14880,,,,,1,,1,,
A2017\student9601,1178448,40,30,,,528,302,460,43,
A2017\student9613,6036424,1173,716,479,420,36024,17673,30210,2005,0.876826722
A2017\student9624,26400,,,55,0,1,,,43,0
A2017\student9636,28800,,,,,1,,,8,
A2017\student9669,3882336,1577,1103,505,261,20504,11884,15908,2135,0.516831683
A2017\student9671,6472224,2194,1082,544,45,35152,10819,29986,1713,0.082720588
A2017\student9675,65280,,,,,1,,,6,
A2017\student9705,3120848,639,439,632,97,17959,16032,14758,1117,0.153481013
A2017\student9805,2542288,800,589,458,142,12929,7816,10770,660,0.310043668
A2017\student9824,7248840,2165,1400,836,257,34746,13427,28656,1844,0.307416268
A2017\student9825,2502600,457,220,203,175,9978,4310,8709,1424,0.862068966
A2017\student9837,4184584,724,396,562,307,21827,7538,18615,956,0.546263345
A2017\student9864,1656776,335,223,80,,10129,2781,8813,914,
A2017\student9870,3226328,838,466,347,107,18669,6407,16147,743,0.308357349
A2017\student9884,4760248,1599,1161,436,312,25708,9480,22301,840,0.71559633
A2017\student9887,66240,,,,,1,,1,,
A2017\student9897,10560,,,,,1,1,,,
A2017\student9923,40,,,,,1,1,,,
A2017\student9924,182280,17,16,6,,612,564,382,55,
A2017\student9931,2487864,197,125,48,149,66,1129,2,22,3.104166667
A2017\student9945,2448,,,,,135,,,,
A2017\student9946,6034736,1066,704,512,277,25177,11444,22005,1219,0.541015625
A2017\student9949,13319704,3441,2666,1725,1540,71411,25862,60491,4224,0.892753623
A2017\student9952,36000,,,,,1,1,,,
A2017\student9964,4209296,880,443,420,199,27463,41806,23751,35341,0.473809524
A2017\student9972,67200,30,30,30,,11,,,,
A2017\student9981,3189120,660,370,269,210,16596,127387,14507,676,0.780669145
A2017\student9986,3343904,604,341,319,166,23803,7487,20288,1797,0.520376176
A2017\student9993,7861144,1032,585,816,288,40376,14919,33785,2630,0.352941176
B2016\student1013,9222968,2129,1309,697,1189,47762,68669,40913,3770,1.705882353
B2016\student1021,3549784,883,494,379,317,15817,8138,13147,1329,0.836411609
B2016\student1029,8095776,2139,1169,902,889,38475,20199,31704,3546,0.985587583
B2016\student1044,5023440,1407,1115,215,18,22250,10283,18515,1211,0.08372093
B2016\student1066,5201952,900,463,475,400,27282,12515,23264,1710,0.842105263
B2016\student1110,1450272,364,198,169,87,7133,2918,5907,517,0.514792899
B2016\student1120,3682672,651,163,458,417,18188,10625,15167,2439,0.910480349
B2016\student1132,8219792,2261,1549,814,808,45536,28258,37278,2127,0.992628993
B2016\student1146,3899112,1085,551,357,661,22916,12104,18458,1384,1.851540616
B2016\student1176,8122808,1792,1010,784,550,47568,15558,40137,1835,0.701530612
B2016\student1180,10601712,2577,1798,755,1293,55861,21291,47545,3219,1.712582781
B2016\student1188,2108040,533,370,209,121,11667,3051,10173,181,0.578947368
B2016\student1192,6696544,1744,1024,516,535,34903,11144,30828,1213,1.036821705
B2016\student1202,14998120,4929,2871,2340,4289,68898,21841,58795,3439,1.832905983
B2016\student1237,2425104,516,250,321,170,14360,3190,12774,193,0.529595016
B2016\student1246,8688,,,,,10,,,,
B2016\student1266,1569232,334,175,198,79,9058,2227,7879,278,0.398989899
B2016\student1269,222768,45,29,37,,1142,953,927,416,
B2016\student1278,264960,,,,,150,641,,,
B2016\student1302,4100368,1464,944,316,,18502,14600,15220,1880,
B2016\student1307,5412152,1628,1079,271,9,25735,19349,21344,10646,0.033210332
B2016\student1313,3798520,757,475,278,449,21035,6139,18110,865,1.615107914
B2016\student1317,17706696,3308,2213,1284,2014,78607,57872,64362,6782,1.568535826
B2016\student1326,5229128,2044,1119,428,300,26186,10882,22328,2531,0.700934579
B2016\student1329,11361760,3312,2250,500,777,56420,22816,46862,4013,1.554
B2016\student1336,11847440,2117,1058,619,159,72234,19050,64491,3040,0.256865913
B2016\student1364,16894896,4432,2600,1391,1874,90521,44391,77815,9387,1.347232207
B2016\student1375,60648,7,5,7,,297,81,268,48,
B2016\student1390,9490928,2943,2000,378,299,48654,15524,42111,2608,0.791005291
B2016\student1422,11402632,3267,2074,824,872,63792,24038,53925,5757,1.058252427
B2016\student1424,4720040,983,596,344,302,24275,6592,21369,969,0.877906977
B2016\student1446,539520,3854,3760,2350,,772,9988,10,,
B2016\student1453,8411080,3914,2302,859,1281,21917,106173,17467,1321,1.491268917
B2016\student1465,7649704,1033,532,567,460,39793,16662,33486,1939,0.811287478
B2016\student1466,18365712,8940,4959,2113,2391,65050,39304,52232,6483,1.131566493
B2016\student1477,14294696,5772,3932,1955,2080,55445,32673,44642,4521,1.063938619
B2016\student1482,558288,122,59,64,17,4197,707,3728,167,0.265625
B2016\student1483,10191848,3723,2054,1033,682,44417,21269,36718,4152,0.660212972
B2016\student1494,3243024,434,214,239,70,14125,5393,11888,628,0.292887029
B2016\student1502,4278016,704,391,555,270,21697,15664,17994,1802,0.486486486
B2016\student1518,2568,1,1,1,,1,,1,,
B2016\student1522,8360,,,2,,2,1,1,,
B2016\student1531,16,,,,,1,158,,,
B2016\student1534,11249216,2019,1480,616,1039,45841,37302,36348,4104,1.686688312
B2016\student1542,8580816,4161,3105,433,870,29106,19920,23218,1840,2.009237875
B2016\student1547,11939024,3011,1601,919,1421,67776,37019,57789,3858,1.546245919
B2016\student1571,18166504,7282,5089,1627,1397,78270,47411,64549,6801,0.858635526
B2016\student1581,6846176,1420,978,639,901,40148,12017,35379,951,1.410015649
B2016\student1608,48,,,,,15,,,,
B2016\student1616,264056,63,50,53,164,679,1678,531,1194,3.094339623
B2016\student1623,225904,123,101,26,78,1107,246440,676,219,3
B2016\student1624,6736096,1828,1149,528,571,34579,17285,28373,2285,1.081439394
B2016\student1639,12739720,3070,1765,1189,1087,61148,31953,50855,8964,0.914213625
B2016\student1643,290568,2,,,,422,127,194,12,
B2016\student1649,10524744,2204,1248,812,1235,47468,18761,41027,2278,1.520935961
B2016\student1671,13819240,3790,2351,1181,1839,74569,24226,63645,3383,1.557154953
B2016\student1688,1057240,239,113,153,108,4942,5150,4210,3406,0.705882353
B2016\student1725,7314296,1518,876,498,326,38144,20680,32605,10031,0.654618474
B2016\student1738,7788704,3164,2092,914,1368,36593,21744,29525,4691,1.496717724
B2016\student1758,8913096,3867,2383,819,1105,33260,21549,26896,1409,1.349206349
B2016\student1772,11317112,3387,1925,923,1076,49397,29126,40553,11402,1.165763814
B2016\student1776,5478160,1798,1288,194,164,21929,10537,17089,1464,0.845360825
B2016\student1793,4684688,1573,1111,373,485,19819,10737,15973,786,1.300268097
B2016\student1828,3277608,816,459,270,274,13688,4321,12083,668,1.014814815
B2016\student1833,6360200,2055,1149,404,511,37122,16978,31680,2437,1.264851485
B2016\student1845,805552,121,75,78,106,2197,691,1705,129,1.358974359
B2016\student1854,8688,,,,,191,,,,
B2016\student1891,6479472,2585,1959,879,287,23960,12473,20784,1438,0.326507395
B2016\student1981,22977144,8300,5574,2037,2209,81596,47513,67383,6509,1.084437899
B2016\student1995,48,,,,,1,,,194,
B2016\student2035,3883504,879,596,362,516,21196,5362,18735,1061,1.425414365
B2016\student2045,531392,122,47,142,81,1813,2057,1457,615,0.570422535
B2016\student2068,10683536,2276,1434,756,718,47796,24180,39584,3226,0.94973545
B2016\student2086,556464,52,7,53,59,4408,717,4076,115,1.113207547
B2016\student2111,10310736,3647,2132,1270,1579,48303,28791,38025,4145,1.243307087
B2016\student2117,7533776,1510,895,489,829,33652,19624,28529,1839,1.695296524
B2016\student2126,2010312,409,224,265,220,9001,3435,7912,220,0.830188679
B2016\student2142,399760,47,20,58,24,2544,499,2251,72,0.413793103
B2016\student2148,4520944,846,563,329,431,21669,7589,18180,721,1.310030395
B2016\student2153,43760,31,,,,226,216,2,,
B2016\student2155,14521512,3392,2205,1981,2741,65477,34708,56462,4280,1.383644624
B2016\student2157,4578264,1418,754,306,111,26625,9034,22997,1634,0.362745098
B2016\student2160,6970936,1947,749,496,414,29397,377464,24386,378687,0.834677419
B2016\student2197,552032,88,42,67,46,3744,967,3320,126,0.686567164
B2016\student2210,6279192,1880,1095,700,679,29164,16041,25009,1897,0.97
B2016\student2213,7345472,1781,891,453,132,43016,15563,36964,2968,0.291390728
B2016\student2221,11293824,3338,2053,780,714,55767,28729,43606,3308,0.915384615
B2016\student2228,9520,1,1,,,354,24,,,
B2016\student2230,13139672,4317,2849,585,275,55858,23639,44519,2601,0.47008547
B2016\student2234,7913216,2050,1265,859,1131,40542,18180,34686,2299,1.316647264
B2016\student2240,705792,130,87,132,147,3822,4181,3240,539,1.113636364
B2016\student2247,12983728,4334,2526,1269,1168,56934,36382,47167,10586,0.920409771
B2016\student2254,12550408,3816,2106,982,1549,55699,31328,45427,3653,1.577393075
B2016\student2267,2645080,1098,823,232,155,14572,5530,12008,1211,0.668103448
B2016\student2340,10121056,4315,2444,1284,1101,40251,30375,32823,2832,0.857476636
B2016\student2351,9096464,3170,1777,812,521,41787,13925,34250,3194,0.641625616
B2016\student2364,19829480,6563,4346,1778,2301,103207,45021,87302,10537,1.294150731
B2016\student2371,9123848,1735,658,1105,1068,41978,394604,35818,1934,0.966515837
B2016\student2386,406944,42,23,116,367,1043,2502,668,145,3.163793103
B2016\student2406,12091776,2933,1163,652,506,38135,23383,31301,4453,0.77607362
B2016\student2421,1538264,517,384,129,110,7519,1549,6901,898,0.852713178
B2016\student2437,1477544,620,374,256,190,6702,1151,6097,232,0.7421875
B2016\student2447,7179120,2913,1861,714,632,33188,15172,28086,2073,0.885154062
B2016\student2463,4334880,443,100,466,214,24333,6002,21761,1462,0.459227468
B2016\student2464,32,,,,,13,,,,
B2016\student2472,9441664,2209,1309,737,1069,48520,17735,42445,2677,1.450474898
B2016\student2477,6875512,1608,1051,621,571,36814,11861,32250,2270,0.919484702
B2016\student2478,2956744,881,653,220,603,12623,20210,10071,6171,2.740909091
B2016\student2486,1112720,163,59,143,214,8255,4536,7024,1263,1.496503497
B2016\student2498,4214384,1551,1021,437,355,26819,13766,21993,2168,0.812356979
B2016\student2508,14476928,2701,1770,603,977,55892,29711,47997,2641,1.620232172
B2016\student2513,5512208,974,546,338,182,26792,15533,23020,2313,0.538461538
B2016\student2526,15534544,3295,1629,1079,1369,61484,44597,51467,6164,1.268767377
B2016\student2553,6902736,3534,2451,677,1001,33515,17189,26826,3051,1.478581979
B2016\student2567,1440,795,780,495,140,15,,,,0.282828283
B2016\student2574,13014272,4988,2983,1203,1251,55722,29008,42004,5005,1.039900249
B2016\student2585,6807976,1901,1265,673,892,34347,19386,26796,4930,1.325408618
B2016\student2634,2851776,789,360,340,291,19548,11766,15459,1927,0.855882353
B2016\student2652,13917392,3568,2093,941,984,43054,31402,35945,11803,1.045696068
B2016\student2664,6852296,1977,1032,665,252,36677,15909,30544,1767,0.378947368
B2016\student2667,21168,,,,,25,,,,
B2016\student2675,223040,78,33,4,,1144,381,986,81,
B2016\student2676,6017536,1579,920,419,578,28850,15509,23374,2049,1.37947494
B2016\student2701,2803912,378,246,253,114,18001,6568,14976,2077,0.450592885
B2016\student2704,5545520,910,477,707,362,32171,10868,27749,1740,0.512022631
B2016\student2736,2266696,465,289,296,118,12922,6452,10691,2088,0.398648649
B2016\student2749,9587520,2742,1586,844,494,43159,18175,36762,2612,0.585308057
B2016\student2755,4086808,727,408,336,300,18602,12917,14769,1147,0.892857143
B2016\student2800,49496,25,16,1,,239,46,215,4,
B2016\student2806,672552,202,119,91,48,3220,667,2777,112,0.527472527
B2016\student2821,9666368,2730,1783,920,1782,40761,21458,33917,3189,1.936956522
B2016\student2830,12414008,2136,1111,1003,1900,56712,20023,48368,2410,1.894317049
B2016\student2831,629360,39,17,19,21,1757,191,1610,30,1.105263158
B2016\student2887,2288,,,,,10,1,7,44,
B2016\student2888,7048,,,1,,11,32,2,28,
B2016\student2896,6372248,1440,953,521,409,38181,16945,32287,1047,0.785028791
B2016\student2908,22492288,10723,5837,1273,1047,103188,52684,87432,14750,0.822466614
B2016\student2925,1282968,320,145,175,135,8070,4357,6706,1150,0.771428571
B2016\student2941,7504296,2640,1690,527,138,27404,15829,23299,804,0.261859583
B2016\student2953,5735000,1207,673,384,226,26725,14317,22480,5452,0.588541667
B2016\student2956,7194624,1053,505,836,802,43003,20240,36630,3141,0.959330144
B2016\student2959,3580472,588,411,301,157,19816,6042,17325,1400,0.521594684
B2016\student2965,8027376,2107,1246,736,556,39988,17775,32903,3305,0.755434783
B2016\student2967,3929296,630,351,335,294,27474,8349,23446,2269,0.87761194
B2016\student2972,4048,,,,,8,1,1,1,
B2016\student3009,2748040,546,367,272,506,14142,3742,12389,351,1.860294118
B2016\student3025,164712,21,10,20,0,887,126,713,29,0
B2016\student3047,3258824,464,186,202,20,16603,10123,13700,1874,0.099009901
B2016\student3071,9523008,2032,1068,1025,2033,45441,19496,39151,1469,1.983414634
B2016\student3077,10211152,2746,1496,599,1140,53922,25321,44220,3460,1.903171953
B2016\student3108,5158912,1082,343,422,286,28037,7903,24670,1468,0.677725118
B2016\student3116,4331800,1272,638,485,384,18341,22039,14752,6546,0.791752577
B2016\student3119,1825192,131,63,45,,9437,2451,8085,256,
B2016\student3133,7571272,1564,741,718,1413,37095,15197,32158,1364,1.967966574
B2016\student3136,307240,,,,,298,380,,,
B2016\student3171,7864888,2873,1511,1851,1605,21611,15768,17626,1370,0.867098865
B2016\student3175,24,,,,,179,,,,
B2016\student3178,13753464,1929,1077,335,44,54907,25477,45762,5393,0.131343284
B2016\student3186,13066688,7098,4828,1789,1077,41125,26983,31934,3491,0.602012297
B2016\student3206,8700008,1323,810,636,1138,45208,19779,37521,1897,1.789308176
B2016\student3217,8958176,3594,2424,849,687,41221,18566,33073,2893,0.809187279
B2016\student3253,2173216,396,255,149,53,13082,4518,11375,2120,0.355704698
B2016\student3258,195192,59,42,,,1122,656,950,399,
B2016\student3288,2249056,526,215,243,273,18425,6229,16107,1221,1.12345679
B2016\student3306,7687448,2120,1392,480,544,38294,12253,32536,1372,1.133333333
B2016\student3315,8571672,1916,853,626,495,37370,21218,32009,6103,0.790734824
B2016\student3320,8759824,2324,1230,423,602,48059,23944,39587,3889,1.423167849
B2016\student3329,10541352,2391,1564,622,604,40712,22592,33514,3336,0.971061093
B2016\student3331,2099312,314,65,158,204,16842,3398,14957,832,1.291139241
B2016\student3350,3716480,907,464,559,336,23595,13445,19442,4481,0.601073345
B2016\student3367,2305608,357,166,123,147,13995,3650,11853,769,1.195121951
B2016\student3383,628952,58,36,852,0,2152,441,1736,9,0
B2016\student3386,12573320,3717,2418,818,1013,54234,471909,42660,4555,1.238386308
B2016\student3406,1244920,439,348,96,62,6616,1862,5790,199,0.645833333
B2016\student3410,3698776,691,432,196,,23752,8092,20804,459,
B2016\student3411,8863984,2403,1461,716,801,41487,19710,35006,1708,1.118715084
B2016\student3421,1541672,418,179,151,11,9182,2775,8126,458,0.072847682
B2016\student3424,846768,126,44,61,34,6313,1395,5634,433,0.557377049
B2016\student3425,1084224,306,198,108,25,6438,2130,5490,1120,0.231481481
B2016\student3442,14205544,4540,3291,1479,1805,63730,48079,50953,7870,1.220419202
B2016\student3483,3639336,1523,857,372,492,16270,9917,12891,1328,1.322580645
B2016\student3500,2758184,699,414,98,10,17045,5795,14731,1044,0.102040816
B2016\student3512,48,,,,,1,,,25,
B2016\student3515,6353168,1559,1108,221,106,30715,11422,27117,1471,0.479638009
B2016\student3517,1138144,164,66,120,90,5517,1656,4904,353,0.75
B2016\student3535,4601200,831,331,271,275,29979,9999,25671,1990,1.014760148
B2016\student3557,11274440,3492,2058,1212,870,46190,24212,39578,3358,0.717821782
B2016\student3560,116056,22,9,4,,878,147,779,41,
B2016\student3567,9023032,1330,614,868,581,40608,26923,33046,4712,0.669354839
B2016\student3572,6369584,2066,1116,444,463,27591,12534,23694,2398,1.042792793
B2016\student3594,10272216,4313,2558,1188,845,49416,27203,40749,2896,0.711279461
B2016\student3610,1712608,376,197,138,143,13380,4082,11343,536,1.036231884
B2016\student3631,7450944,932,286,1379,1403,33865,15186,28659,2244,1.017403916
B2016\student3634,3376928,424,174,507,445,22209,5696,19566,1009,0.877712032
B2016\student3666,1626280,324,206,110,13,7378,4257,6105,254,0.118181818
B2016\student3671,1804304,576,436,194,91,11061,3506,9313,714,0.469072165
B2016\student3673,15845272,5467,4394,930,421,78377,28691,68839,5201,0.452688172
B2016\student3678,3152,1,1,,,3,68,,26,
B2016\student3701,12630608,2973,1665,962,1051,66065,25835,58319,3099,1.092515593
B2016\student3710,48,,,,,7,,,,
B2016\student3711,1181568,418,308,168,434,2687,6903,1906,1316,2.583333333
B2016\student3715,4649632,522,247,278,181,26337,10937,22254,1473,0.651079137
B2016\student3717,4077128,534,322,302,339,19098,5904,16369,1237,1.122516556
B2016\student3719,24,,,,,1,,,219,
B2016\student3732,335840,45,10,60,0,1842,209,1670,35,0
B2016\student3736,633528,119,66,76,100,6039,1373,5411,259,1.315789474
B2016\student3756,4333464,1198,775,367,760,20098,10027,16518,2145,2.070844687
B2016\student3759,2747896,967,590,277,314,12467,6574,9927,540,1.133574007
B2016\student3761,2408176,478,329,156,107,10511,4357,8509,1055,0.685897436
B2016\student3776,750088,170,105,2,,4184,2730,3603,136,
B2016\student3790,5002784,1417,859,545,404,22608,15463,17847,1818,0.741284404
B2016\student3807,2175576,954,742,197,132,7707,17981,5388,1489,0.670050761
B2016\student3841,11272624,2033,1240,538,714,60132,30038,50375,5526,1.327137546
B2016\student3856,500008,70,22,32,45,3471,678,3155,72,1.40625
B2016\student3867,3750344,1500,1140,333,481,16665,10603,12978,1628,1.444444444
B2016\student3872,8076200,926,268,696,717,42882,23132,33657,1670,1.030172414
B2016\student3899,26256,11,8,3,,104,64,67,4,
B2016\student3900,839680,88,7,71,0,4254,1150,3392,33,0
B2016\student3925,6637168,1154,663,567,676,35464,19357,29427,3479,1.192239859
B2016\student3943,1721856,102,21,177,59,9075,2826,8136,617,0.333333333
B2016\student4014,136384,8,2,,,677,100,463,3,
B2016\student4016,9155184,1444,615,956,858,48429,20534,42692,1902,0.89748954
B2016\student4026,443496,34,27,42,,951,1498,712,4,
B2016\student4036,3432888,618,373,219,211,24198,5652,21364,622,0.96347032
B2016\student4043,3515616,315,163,187,2,21686,7331,18988,570,0.010695187
B2016\student4053,741136,92,60,239,497,755,7162,486,60,2.079497908
B2016\student4057,1607280,365,212,123,,9321,7146,7578,370,
B2016\student4059,1820312,159,68,151,181,13013,2747,11434,194,1.198675497
B2016\student4082,7438640,1320,579,598,533,35970,20703,30853,4134,0.891304348
B2016\student4095,8110624,1867,1238,440,494,49147,17731,40992,2889,1.122727273
B2016\student4100,2792168,402,180,258,327,14529,3510,12716,422,1.26744186
B2016\student4105,208952,47,29,40,63,995,1105,785,688,1.575
B2016\student4108,225384,37,31,14,0,1965,368,1674,46,0
B2016\student4110,81176,13,7,2,,352,173,303,42,
B2016\student4124,1398000,246,138,73,67,8911,2448,7952,745,0.917808219
B2016\student4128,486656,185,138,20,20,2637,1011,2250,101,1
B2016\student4150,7595320,1333,695,602,456,44031,16391,37297,2771,0.757475083
B2016\student4155,2329568,395,173,223,233,10372,6975,8350,1441,1.044843049
B2016\student4163,4803240,1123,740,305,171,29276,14956,24885,4990,0.560655738
B2016\student4167,14791472,3871,2560,1366,1707,69849,123064,57329,83730,1.249633968
B2016\student4185,8186144,1275,525,988,983,41829,18246,35729,1923,0.994939271
B2016\student4192,2158512,327,169,78,,14553,4789,12709,404,
B2016\student4195,9379536,2654,1503,669,1041,36708,39697,27714,4053,1.556053812
B2016\student4253,408,,,,,1,15,,,
B2016\student4273,503656,109,70,43,49,3073,1917,2704,45,1.139534884
B2016\student4280,4739768,922,377,508,314,16898,18961,13837,2734,0.618110236
B2016\student4290,6837824,1555,810,425,78,52151,17601,47026,1625,0.183529412
B2016\student4296,11418672,6075,4041,1126,1254,42113,54132,32009,6708,1.113676732
B2016\student4320,4630128,1435,1038,414,910,24261,9616,19990,1387,2.198067633
B2016\student4322,742344,105,56,112,31,4441,1673,3965,295,0.276785714
B2016\student4343,539368,125,73,63,26,3114,1196,2750,159,0.412698413
B2016\student4370,4481728,1132,856,291,335,20007,15627,15795,1861,1.151202749
B2016\student4377,16617432,6019,3891,1719,3792,79992,34002,67993,5847,2.205933682
B2016\student4389,7359016,2543,1741,657,636,33347,20561,26769,2601,0.96803653
B2016\student4412,4177296,1084,776,248,169,21129,12571,17536,2536,0.681451613
B2016\student4414,4024592,1081,647,565,681,19014,9138,15481,767,1.205309735
B2016\student4415,12411984,3076,1955,873,947,54611,48369,43798,4249,1.084765178
B2016\student4416,10216240,2026,1120,894,1006,54402,22516,46350,1838,1.125279642
B2016\student4419,2314648,282,143,97,,13924,6358,11551,784,
B2016\student4425,15313384,2324,1296,1990,2923,76371,43729,63203,8443,1.468844221
B2016\student4430,7841776,3351,1947,1029,1263,27711,21883,22083,2216,1.227405248
B2016\student4438,48,,,,,14,,,,
B2016\student4460,0,,,,,11,,,,
B2016\student4469,4981976,929,453,459,398,17669,12045,14263,3323,0.867102397
B2016\student4471,16511728,4916,3184,1275,1692,74258,51658,63617,11696,1.327058824
B2016\student4473,6594256,887,370,426,620,41810,14917,37004,3310,1.455399061
B2016\student4478,8704,,,,,1,,,319,
B2016\student4495,3862200,786,411,414,425,18581,8801,15939,1003,1.026570048
B2016\student4519,3365280,1054,687,158,75,22739,9565,18857,1146,0.474683544
B2016\student4526,7179496,1183,488,837,718,25338,14050,21236,2087,0.857825568
B2016\student4554,931280,196,119,91,127,5803,1381,5078,245,1.395604396
B2016\student4575,1445888,189,115,157,206,11749,3027,10281,374,1.312101911
B2016\student4587,959968,152,95,90,79,6161,1062,5548,104,0.877777778
B2016\student4599,7248,,,,,183,,,,
B2016\student4602,14254720,3920,2197,607,631,71643,33876,58719,6247,1.039538715
B2016\student4614,17232296,5515,3718,1381,1674,75018,29271,65883,4042,1.212165098
B2016\student4628,17306048,4477,2782,1002,1155,100669,218525,82810,4405,1.152694611
B2016\student4639,4932656,1645,889,167,49,30048,16915,25166,3863,0.293413174
B2016\student4640,453408,85,23,59,2,2574,628,2288,176,0.033898305
B2016\student4644,135152,11,2,235,,977,181,864,716,
B2016\student4647,12492608,5865,3845,1080,2060,36928,22064,31147,1438,1.907407407
B2016\student4659,13283336,3616,2037,1209,1479,64082,27159,55335,3908,1.223325062
B2016\student4661,92872,20,11,14,3,373,109,313,653,0.214285714
B2016\student4665,1523552,168,62,119,83,13884,3844,11866,213,0.697478992
B2016\student4682,4533576,822,453,430,407,23151,8523,19411,1145,0.946511628
B2016\student4733,2364224,410,211,193,313,17633,5190,15124,420,1.621761658
B2016\student4736,3122760,671,471,236,166,18611,10267,15455,1965,0.703389831
B2016\student4766,10905128,2065,1249,776,1202,51774,22935,43618,2354,1.548969072
B2016\student4770,2029880,601,377,217,277,13269,4799,10805,1019,1.276497696
B2016\student4780,7439224,1830,934,941,1040,42792,16075,36896,2601,1.105207226
B2016\student4804,7015192,1065,629,968,1036,32526,16084,26749,1171,1.070247934
B2016\student4806,4662232,2224,1496,249,309,15616,10722,12777,796,1.240963855
B2016\student4819,592216,134,58,67,52,3554,549,3028,49,0.776119403
B2016\student4824,2774816,664,329,292,364,19489,6911,16333,754,1.246575342
B2016\student4825,2826768,907,402,433,547,13282,9412,9750,851,1.263279446
B2016\student4852,13577136,3722,2540,992,2310,54351,21886,45727,7469,2.328629032
B2016\student4860,2915368,691,276,293,281,15710,4021,13807,490,0.959044369
B2016\student4863,17520368,9304,6581,1259,1339,77707,57103,62053,8300,1.063542494
B2016\student4867,2288224,400,180,334,838,12683,8579,10863,1999,2.508982036
B2016\student4878,2839432,1050,766,156,47,11845,7469,9721,1953,0.301282051
B2016\student4888,274728,,,1,,144,35,,,
B2016\student4903,144,,,,,8,,,,
B2016\student4934,2163904,511,234,287,343,16321,4659,14271,942,1.195121951
B2016\student4949,11837960,2727,1485,1132,1721,53362,25513,45628,2861,1.520318021
B2016\student4959,8858488,2565,1474,1025,1715,40093,25144,34053,2568,1.673170732
B2016\student4973,8662920,2311,1061,664,229,48723,35277,40398,6673,0.344879518
B2016\student4982,7167736,2629,1891,503,585,32652,14484,27456,1637,1.163021869
B2016\student4995,96032,35,30,4,,497,317,406,233,
B2016\student4998,1698592,456,392,257,255,6391,7357,4821,363,0.992217899
B2016\student5015,954456,129,45,81,12,4684,1171,4136,224,0.148148148
B2016\student5078,16390576,7169,3725,2064,2098,48296,47674,39266,7557,1.016472868
B2016\student5099,1098800,205,167,37,,3351,758,2750,61,
B2016\student5122,11136920,3062,1839,1213,1507,51617,19606,43872,2661,1.242374279
B2016\student5129,8760936,1489,789,449,707,34529,18008,27446,2896,1.574610245
B2016\student5140,10124792,2636,1681,792,1148,53327,22616,45161,4699,1.449494949
B2016\student5154,72,,,,,70,,,,
